dst_path,image_path,design_name,file_name,designer
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\1948 ganji design\HB1948 FULL1.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_1948 ganji design_HB1948 FULL1.png,1948 ganji design,HB1948 FULL1.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\1948 ganji design\HB1948 HAND.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_1948 ganji design_HB1948 HAND.png,1948 ganji design,HB1948 HAND.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\1948 ganji design\HB1948 HAND1.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_1948 ganji design_HB1948 HAND1.png,1948 ganji design,HB1948 HAND1.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\1948 ganji design\HB1948 HANDFULL.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_1948 ganji design_HB1948 HANDFULL.png,1948 ganji design,HB1948 HANDFULL.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\1948 ganji design\HB1948 LEFTH.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_1948 ganji design_HB1948 LEFTH.png,1948 ganji design,HB1948 LEFTH.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\1948 ganji design\HB1948 RIGHTH.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_1948 ganji design_HB1948 RIGHTH.png,1948 ganji design,HB1948 RIGHTH.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\293 design\BH293 B1.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_293 design_BH293 B1.png,293 design,BH293 B1.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\293 design\BH293 BACK.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_293 design_BH293 BACK.png,293 design,BH293 BACK.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\293 design\BH293 FR.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_293 design_BH293 FR.png,293 design,BH293 FR.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\293 design\BH293 HAND FULL.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_293 design_BH293 HAND FULL.png,293 design,BH293 HAND FULL.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\293 design\BH293 HAND1J.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_293 design_BH293 HAND1J.png,293 design,BH293 HAND1J.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\293 design\BH293 HANDJ.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_293 design_BH293 HANDJ.png,293 design,BH293 HANDJ.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\370 design\370 Buti 18.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_370 design_370 Buti 18.png,370 design,370 Buti 18.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\370 design\370 Front 18.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_370 design_370 Front 18.png,370 design,370 Front 18.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\370 design\370 Hand 18.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_370 design_370 Hand 18.png,370 design,370 Hand 18.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\370 design\hand.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_370 design_hand.png,370 design,hand.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\370 design\neck (1).DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_370 design_neck (1).png,370 design,neck (1).DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\602 design\602_B1.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_602 design_602_B1.png,602 design,602_B1.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\602 design\602_B2.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_602 design_602_B2.png,602 design,602_B2.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\602 design\602_F.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_602 design_602_F.png,602 design,602_F.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\602 design\602_H1.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_602 design_602_H1.png,602 design,602_H1.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\602 design\602_H2.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_602 design_602_H2.png,602 design,602_H2.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\602 design\back(9865225519).DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_602 design_back(9865225519).png,602 design,back(9865225519).DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\602 design\hand full(9865225519).DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_602 design_hand full(9865225519).png,602 design,hand full(9865225519).DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\678\5-6.5-10.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_678_5-6.5-10.png,678,5-6.5-10.DST,Bindu
